timestamp,TP9,AF7,AF8,TP10
1789995812.447611,0.000,0.000,0.000,0.000
1789995812.451472,0.000,0.000,-0.488,0.000
1789995812.455333,-1.465,-2.441,-1.465,-1.953
1789995812.459193,2.930,3.906,0.977,2.930
1789995812.463054,-17.090,-24.414,-13.184,-20.508
1789995812.466915,-44.922,-73.242,-69.336,-69.336
1789995812.470775,-40.527,-70.801,-99.609,-70.801
1789995812.474636,-38.574,-68.848,-86.426,-36.621
1789995812.478497,-17.578,-79.102,-85.449,-35.645
1789995812.482357,7.812,-76.660,-94.727,-37.109
1789995812.486218,10.742,-74.707,-99.121,-22.461
1789995812.490078,-11.719,-79.102,-98.145,-19.043
1789995812.493096,-20.508,-83.008,-99.609,-15.625
1789995812.496886,9.766,-91.309,-94.727,-0.977
1789995812.500677,13.672,-90.332,-91.797,0.000
1789995812.504467,-8.301,-84.961,-99.609,-14.160
1789995812.508258,-2.930,-83.496,-100.586,-0.977
1789995812.512048,13.672,-86.914,-102.539,0.977
1789995812.515838,13.672,-100.098,-108.887,-8.301
1789995812.519629,16.113,-93.750,-108.398,-5.371
1789995812.523419,6.348,-79.590,-104.004,-3.906
1789995812.527210,0.977,-81.543,-98.633,2.441
1789995812.531000,15.137,-83.008,-92.285,11.719
1789995812.534791,15.137,-80.566,-90.820,15.137
1789995812.536156,1.465,-90.820,-91.309,7.812
1789995812.539845,15.625,-94.238,-89.844,6.348
1789995812.543535,25.391,-88.867,-94.238,8.301
1789995812.547224,11.230,-89.355,-95.215,9.766
1789995812.550913,-3.906,-98.145,-96.191,2.930
1789995812.554603,-3.906,-103.516,-102.539,-4.395
1789995812.558292,14.648,-97.656,-101.562,9.277
1789995812.561981,13.184,-95.215,-99.121,10.254
1789995812.565670,4.395,-92.285,-96.680,12.207
1789995812.569360,-2.441,-87.402,-94.727,11.719
1789995812.573049,8.789,-90.820,-96.191,1.953
1789995812.576739,8.301,-94.238,-99.121,5.371
1789995812.576681,5.371,-94.727,-96.680,2.441
