timestamp,TP9,AF7,AF8,TP10
1789994143.267916,0.000,-0.488,0.000,0.000
1789994143.271775,0.000,0.000,0.000,0.000
1789994143.275635,-2.930,-0.488,-2.441,-4.395
1789994143.279495,5.859,-0.488,2.930,9.277
1789994143.283354,-34.180,1.953,-21.484,-53.223
1789994143.287214,-94.238,-4.395,-83.496,-138.184
1789994143.291073,-93.750,-11.230,-98.633,-121.094
1789994143.294933,-87.891,-7.324,-86.914,-105.957
1789994143.298792,-64.453,-7.324,-87.402,-97.656
1789994143.302652,-49.316,-5.859,-87.891,-84.473
1789994143.306512,-61.035,-8.301,-88.867,-78.613
1789994143.310371,-57.129,-17.090,-84.961,-69.336
1789994143.313341,-37.109,-18.555,-82.031,-58.105
1789994143.317127,-30.762,-18.066,-81.543,-53.711
1789994143.320912,-32.227,-23.438,-79.590,-45.898
1789994143.324698,-24.414,-31.738,-75.195,-47.852
1789994143.328483,-8.789,-28.809,-76.172,-44.434
1789994143.332269,3.418,-26.855,-76.660,-27.344
1789994143.336054,-1.953,-31.250,-66.406,-20.996
1789994143.339839,-5.859,-33.203,-70.312,-25.391
1789994143.343625,7.324,-38.086,-69.824,-11.230
1789994143.347410,20.996,-37.598,-55.664,3.906
1789994143.351196,15.625,-33.691,-54.688,3.418
1789994143.354981,10.742,-28.809,-52.246,5.371
1789994143.356260,24.902,-27.344,-49.316,7.812
1789994143.359941,42.969,-32.227,-51.758,19.531
1789994143.363622,43.945,-33.203,-50.293,26.367
1789994143.367303,30.273,-32.227,-50.293,23.438
1789994143.370984,27.832,-37.109,-49.316,25.391
1789994143.374665,40.039,-41.016,-51.758,26.367
1789994143.378346,36.133,-42.480,-54.688,20.020
1789994143.382027,25.879,-41.504,-47.363,25.391
1789994143.385708,28.809,-36.133,-41.992,36.621
1789994143.389389,38.574,-36.133,-42.969,34.180
1789994143.393070,46.387,-37.109,-42.480,32.715
1789994143.396751,36.621,-40.527,-39.062,43.457
1789994143.396675,31.250,-43.457,-34.668,50.781
1789994143.400252,42.480,-40.039,-34.668,40.039
1789994143.403828,45.898,-40.039,-36.133,45.898
1789994143.407405,38.086,-37.598,-31.250,44.434
1789994143.410981,27.344,-33.691,-29.297,37.109
1789994143.414558,31.738,-37.109,-41.504,27.344
1789994143.418135,47.852,-40.039,-47.363,21.973
1789994143.421711,52.734,-36.133,-36.133,33.203
1789994143.425288,44.434,-29.297,-39.062,27.344
1789994143.428865,35.156,-30.762,-44.922,18.555
