timestamp,TP9,AF7,AF8,TP10
1789912715.730853,0.000,0.000,0.000,0.000
1789912715.734712,-0.488,-0.488,0.000,0.000
1789912715.738572,-0.977,-0.488,0.000,-0.977
1789912715.742431,1.465,0.488,0.000,1.465
1789912715.746291,-10.254,-4.883,0.000,-9.766
1789912715.750151,-27.344,-15.137,0.000,-33.691
1789912715.754010,-24.414,-21.973,0.000,-31.250
1789912715.757870,-21.973,-25.391,0.000,-32.715
1789912715.761729,-27.344,-22.949,0.000,-42.969
1789912715.765589,-29.297,-19.531,0.000,-41.016
1789912715.769449,-41.992,-23.438,0.000,-31.738
1789912715.773309,-44.922,-30.762,0.000,-28.320
1789912715.776071,0.000,-29.297,-16.602,-35.156
1789912715.779839,0.000,-25.879,-17.090,-35.645
1789912715.783607,0.000,-21.484,-18.555,-38.086
1789912715.787376,0.000,-18.555,-21.484,-32.715
1789912715.791144,0.000,-27.344,-23.926,-34.180
1789912715.794912,0.000,-34.668,-27.344,-41.016
1789912715.798680,0.000,-27.832,-26.367,-34.668
1789912715.802449,0.000,-21.484,-23.926,-29.297
1789912715.806217,0.000,-26.855,-31.250,-37.598
1789912715.809985,0.000,-25.879,-24.414,-31.738
1789912715.813753,0.000,-26.855,-23.438,-36.133
1789912715.817521,0.000,-31.250,-30.273,-39.551
1789912715.818446,-52.734,-30.762,-35.156,-26.855
1789912715.822096,-53.223,-27.832,-33.691,-35.645
1789912715.825745,-55.176,-26.855,-25.391,-49.805
1789912715.829395,-38.086,-27.344,-21.484,-46.875
1789912715.833045,-9.277,-23.438,-25.391,-37.598
1789912715.836694,-3.906,-25.879,-24.902,-20.996
1789912715.840344,-41.016,-33.691,-16.113,-32.227
1789912715.843994,-69.336,-32.715,-14.160,-42.969
1789912715.847644,-44.922,-30.273,-19.043,-19.043
1789912715.851293,-14.160,-31.738,-15.625,-8.301
1789912715.854943,-40.527,-34.180,-12.695,-30.762
1789912715.858593,-46.875,-32.715,-16.113,-36.133
1789912715.858323,-33.203,-30.273,-15.625,-36.621
1789912715.861863,-27.344,-28.809,-19.531,-33.691
1789912715.865404,-18.066,-27.344,-18.066,-27.344
1789912715.868945,-19.531,-25.879,-9.766,-29.785
1789912715.872486,-26.855,-31.250,-8.789,-22.949
1789912715.876027,-36.621,-35.156,-8.789,-22.461
1789912715.879568,-45.410,-33.691,-15.137,-30.762
1789912715.883108,-52.734,-37.109,-18.555,-37.109
1789912715.886649,-41.504,-35.645,-13.672,-33.203
1789912715.890190,-32.715,-33.203,-15.137,-26.367
1789912715.893731,-39.062,-33.691,-17.578,-26.367
1789912715.897272,-22.949,-27.832,-12.207,-33.203
1789912715.897250,-23.438,-27.832,-11.230,-28.809
1789912715.900716,-41.016,-28.809,-15.137,-23.438
1789912715.904183,-28.320,-28.809,-20.020,-15.137
1789912715.907650,-21.973,-28.320,-16.602,-28.320
1789912715.911116,-24.414,-24.902,-9.277,-44.922
1789912715.914583,-13.672,-26.855,-13.672,-33.691
1789912715.918049,-9.277,-25.879,-9.277,-10.742
1789912715.921516,-16.602,-22.949,-3.906,-16.113
1789912715.924983,-36.133,-30.762,-11.230,-33.203
1789912715.928449,-34.668,-35.156,-14.160,-27.832
1789912715.931916,-36.621,-35.156,-10.742,-37.598
1789912715.935382,-48.340,-34.180,-13.672,-40.527
1789912715.938120,-49.316,-32.715,-18.066,-44.922
1789912715.941575,-49.316,-35.645,-22.949,-53.711
1789912715.945029,-43.457,-33.203,-22.949,-44.922
1789912715.948483,-39.551,-27.832,-12.207,-36.133
1789912715.951938,-47.852,-27.344,-14.160,-45.898
1789912715.955392,-52.734,-27.344,-20.508,-45.898
1789912715.958847,-24.414,-22.461,-14.648,-34.180
1789912715.962301,-16.113,-18.066,-7.812,-28.809
1789912715.965756,-25.391,-15.137,-1.953,-20.996
1789912715.969210,-19.043,-12.207,1.953,-9.277
1789912715.972665,-4.883,-11.719,0.977,-5.859
1789912715.976119,7.324,-9.766,1.465,-11.230
1789912715.979419,0.977,-4.883,5.371,-1.953
1789912715.982872,0.488,-4.395,7.812,-1.465
1789912715.986324,11.719,-3.906,4.883,9.766
1789912715.989776,13.672,0.977,3.906,11.230
1789912715.993229,13.184,5.371,7.324,2.441
1789912715.996681,5.859,-0.977,4.883,-10.742
1789912716.000133,3.418,-8.789,-0.977,-13.672
1789912716.003586,1.465,-0.977,4.395,0.488
1789912716.007038,0.977,7.812,7.324,13.184
1789912716.010490,7.324,8.789,-6.348,9.277
1789912716.013943,5.859,4.395,-13.672,-7.324
