second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,0.089975,,-0.174064,,0,
3,0.144128,,0.469600,,0,
4,0.240150,,0.585391,,0,
5,,,,,1,
6,,,,,1,
7,,,,,0,
8,,,,,2,
9,,,,,1,
10,,0.158084,,0.293642,1,42
11,,0.158084,,0.293642,3,54
12,,,,,1,60
13,,,,,2,72
14,,,,,1,78
15,,,,,2,84
16,,,,,1,84
17,,,,,1,90
18,,,,,2,90
19,,,,,2,96
20,,,,,1,96
21,,,,,0,78
22,0.064587,,-0.464146,,0,72
23,0.046488,,0.201309,,0,60
24,0.105767,0.072281,-0.254995,-0.172611,0,54
25,0.174537,0.097845,0.293048,-0.056196,0,42
26,0.105239,0.099324,1.441775,0.243398,0,36
27,0.095927,0.098758,-0.397747,0.136541,0,30
28,,0.098758,,0.136541,1,24
29,,0.098758,,0.136541,0,12
30,0.076993,0.095648,0.198287,0.145362,0,6
31,0.088983,0.094815,1.302296,0.289978,0,6
32,0.065575,0.094939,0.732571,0.439568,0,6
33,0.068795,0.097727,-0.260930,0.381788,0,6
34,0.063689,0.092467,-1.023019,0.285785,0,6
35,0.071718,0.079615,0.000487,0.249215,0,6
36,0.048175,0.072482,0.677802,0.153718,0,6
37,,0.069133,,0.232499,1,12
38,,0.069133,,0.232499,1,12
39,0.219749,0.087960,1.978724,0.450777,0,12
40,0.021359,0.081005,0.649295,0.507153,0,12
41,0.073825,0.079111,0.269138,0.378009,0,12
42,0.153944,0.090157,1.188058,0.434944,0,12
43,0.142185,0.099331,2.045819,0.723288,0,12
44,0.069527,0.100060,0.396373,0.900712,0,12
45,,0.104109,,1.029315,1,18
46,,0.113432,,1.087901,0,18
47,,0.113432,,1.087901,1,18
48,,0.113432,,1.087901,1,18
49,0.042188,0.083838,-0.576622,0.662010,0,18
50,0.097533,0.096534,-0.450787,0.478663,0,18
51,0.052986,0.093061,0.966900,0.594957,0,18
52,,0.080884,,0.476336,2,30
53,,0.065559,,0.083966,1,36
54,,0.064236,,-0.020170,1,42
55,,0.064236,,-0.020170,2,48
56,,0.064236,,-0.020170,1,54
57,,0.064236,,-0.020170,1,54
58,,0.064236,,-0.020170,1,54
59,0.044171,0.064897,0.234144,0.250086,0,54
60,,,,,1,60
61,,,,,1,66
62,0.051738,,0.364276,,0,54
63,0.030441,0.042117,0.198773,0.265731,0,48
64,,0.042117,,0.265731,0,42
65,,0.042117,,0.265731,1,36
66,,0.042117,,0.265731,2,42
67,,0.042117,,0.265731,1,42
68,0.130804,0.064288,0.600597,0.349448,0,36
69,0.048222,0.065301,0.088475,0.313030,0,36
70,,0.065301,,0.313030,1,36
71,,0.065301,,0.313030,0,30
72,,0.069822,,0.295948,1,36
73,0.056045,0.078357,1.215717,0.634929,0,36
74,0.046007,0.070269,-0.065755,0.459758,0,36
75,0.054235,0.067062,0.290265,0.425860,0,30
76,,0.067062,,0.425860,1,24
77,,0.067062,,0.425860,0,18
78,0.158546,0.072611,-0.493638,0.207013,0,18
79,0.054492,0.073865,0.058392,0.200996,0,18
80,,0.073865,,0.200996,1,18
81,0.082900,0.075371,-0.535148,0.078306,0,18
82,0.060326,0.073222,-0.097554,0.053183,0,12
83,0.043135,0.071377,0.382968,-0.065781,0,12
84,0.055969,0.072800,0.159495,-0.033603,0,12
85,0.074101,0.075638,-0.706914,-0.176057,0,12
86,0.035817,0.070661,0.247562,-0.123104,0,6
87,0.044094,0.067709,0.962091,-0.002527,0,6
88,0.046503,0.055260,0.026790,0.055298,0,6
89,0.042692,0.053948,0.643123,0.120268,0,6
