second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,0.120049,,-0.695435,,0,
2,,,,,1,
3,,,,,0,
4,,,,,1,
5,,,,,1,
6,,,,,1,
7,0.081270,,0.677431,,0,
8,0.094697,,0.326215,,0,
9,0.190675,,0.625802,,0,
10,0.070094,0.111357,-0.536668,0.079469,0,24
11,,0.109184,,0.273195,1,30
12,,0.109184,,0.273195,1,30
13,0.053727,0.098093,0.089575,0.236471,0,30
14,0.050108,0.090095,0.451343,0.272283,0,24
15,,0.090095,,0.272283,1,24
16,,0.090095,,0.272283,0,18
17,0.077478,0.089463,0.604251,0.260086,0,18
18,0.272549,0.119105,-1.030100,0.034034,0,18
19,0.090915,0.102478,0.530641,0.018174,0,18
20,0.048672,0.098908,0.189259,0.139161,0,18
21,,0.098908,,0.139161,1,18
22,,0.098908,,0.139161,0,12
23,0.052296,0.098670,-0.793070,-0.007946,0,12
24,,0.108382,,-0.099804,1,18
25,0.025302,0.094536,-0.689011,-0.198005,0,12
26,0.041687,0.086986,-1.133874,-0.331700,0,12
27,0.034076,0.080785,-1.366829,-0.613283,0,12
28,0.046342,0.048470,-0.273375,-0.505180,0,12
29,0.314957,0.080476,-0.000613,-0.581073,0,12
30,0.054268,0.081276,-0.075751,-0.618932,0,12
31,,0.081276,,-0.618932,1,12
32,0.090980,0.082489,-0.612565,-0.618136,0,12
33,0.068420,0.084504,-0.514417,-0.583304,0,12
34,0.124581,0.088957,-0.033649,-0.522232,0,6
35,,0.096914,,-0.501384,1,12
36,,0.104804,,-0.411028,1,18
37,0.051589,0.107305,-0.716451,-0.318117,0,18
38,,0.117466,,-0.325574,1,24
39,,0.077968,,-0.390567,1,30
40,,0.083893,,-0.469271,1,36
41,,0.083893,,-0.469271,1,36
42,0.063139,0.076932,-0.735036,-0.499888,0,36
43,0.049846,0.072289,-1.212485,-0.674405,0,36
44,0.064755,0.057332,0.338554,-0.581355,0,36
45,0.081338,0.062133,-0.863293,-0.637742,0,30
46,,0.062133,,-0.637742,1,30
47,,0.064769,,-0.618065,1,36
48,0.191132,0.090042,-0.572227,-0.608898,0,30
49,0.095418,0.090938,-0.609774,-0.609044,0,24
50,0.072673,0.088328,-1.143264,-0.685361,0,18
51,0.038317,0.082077,0.006664,-0.598858,0,12
52,0.079177,0.084082,-1.951864,-0.750961,0,12
53,0.429035,0.131480,1.403715,-0.423936,0,12
54,0.252315,0.154925,0.501464,-0.403572,0,12
55,0.150108,0.163522,0.102726,-0.282820,0,12
56,,0.163522,,-0.282820,1,12
57,0.089619,0.155310,0.397920,-0.207182,0,6
58,0.662349,0.207668,-0.070343,-0.151417,0,6
59,0.122946,0.210727,-0.546711,-0.144410,0,6
60,0.529308,0.261464,-0.235087,-0.043502,0,6
61,0.837880,0.350304,-1.304271,-0.189161,0,6
62,0.209973,0.364837,-0.831609,-0.064688,0,6
63,0.147051,0.333505,-0.988878,-0.330532,0,6
64,0.257042,0.334031,-1.020311,-0.499618,0,6
65,,0.357021,,-0.574911,1,12
66,,0.357021,,-0.574911,0,6
67,0.302104,0.383581,0.220423,-0.597098,0,6
68,0.122298,0.316075,0.009337,-0.587138,0,6
69,,0.343665,,-0.592914,1,12
70,,0.312725,,-0.652551,0,12
71,0.109650,0.191353,-0.209412,-0.470075,0,12
72,0.734559,0.278784,-0.815764,-0.467434,0,12
73,0.067243,0.265483,0.191675,-0.270675,0,12
74,0.565775,0.316938,-0.848978,-0.242120,0,12
75,0.084430,0.283723,-0.115115,-0.223976,0,6
76,1.136462,0.390315,-1.231423,-0.349907,0,6
77,0.352629,0.396631,-0.319680,-0.417420,0,6
78,0.289065,0.417477,-0.382147,-0.466356,0,6
79,0.430730,0.418949,-2.428371,-0.684357,0,0
80,0.273796,0.404434,-0.674025,-0.683324,0,0
81,0.529628,0.446432,-1.355020,-0.797885,0,0
82,0.254050,0.398381,-0.871849,-0.803493,0,0
83,0.123325,0.403989,-0.140298,-0.836691,0,0
84,0.395824,0.386994,0.559820,-0.695811,0,0
85,0.081336,0.386684,0.989330,-0.585366,0,0
86,0.082472,0.281285,1.037988,-0.358425,0,0
87,0.621165,0.308139,-0.680771,-0.394534,0,0
88,0.820239,0.361256,0.193921,-0.336928,0,0
89,0.147911,0.332975,-0.049267,-0.099017,0,0
90,0.145356,0.320131,1.714350,0.139820,0,0
91,0.390703,0.306238,-0.335281,0.241794,0,0
92,0.472628,0.328096,-0.148715,0.314108,0,0
93,0.211645,0.336928,-1.164534,0.211684,0,0
94,0.281569,0.325503,0.349874,0.190690,0,0
95,0.359834,0.353352,-0.506077,0.041149,0,0
96,0.644614,0.409567,-0.588084,-0.121458,0,0
97,0.262533,0.373703,0.415590,-0.011822,0,0
98,0.230960,0.314775,0.827837,0.051569,0,0
99,0.051661,0.305150,0.897963,0.146292,0,0
100,0.082713,0.298886,2.122817,0.187139,0,0
101,,0.288684,,0.245186,1,6
102,0.642826,0.307595,-1.015122,0.148918,0,6
103,0.370313,0.325225,-0.503720,0.222342,0,6
104,0.470777,0.346248,-1.186254,0.051661,0,6
105,0.710465,0.385207,1.871719,0.315861,0,6
106,0.383617,0.356207,1.194914,0.513972,0,6
107,,0.367917,,0.526269,0,6
108,,0.387482,,0.483188,1,12
109,0.445313,0.443718,-0.431223,0.293304,0,12
110,0.231506,0.464974,-1.140595,-0.172897,0,12
111,0.185337,0.430019,0.165621,-0.130582,0,6
112,,0.399618,,-0.004220,1,12
113,0.516598,0.420516,-0.482649,-0.001209,0,12
114,,0.412139,,0.196298,0,12
115,,0.352474,,-0.138786,1,18
116,,0.344688,,-0.472211,0,18
117,,0.344688,,-0.472211,2,30
118,,0.344688,,-0.472211,1,30
119,,0.311147,,-0.485874,0,30
120,,,,,2,42
121,0.088139,,-0.291037,,0,42
122,0.095808,0.233515,-0.180311,-0.317999,0,36
123,,,,,1,42
124,,,,,1,48
125,,,,,0,42
126,0.255649,0.146532,-0.993845,-0.488398,0,42
127,0.229669,0.167316,1.278699,-0.046623,0,30
128,,0.167316,,-0.046623,1,30
129,,0.167316,,-0.046623,1,36
130,0.042083,0.142270,-0.280509,-0.093401,0,24
131,0.063888,0.137419,-0.356637,-0.106521,0,24
132,,0.147822,,-0.088073,1,30
133,,0.147822,,-0.088073,1,30
134,,0.147822,,-0.088073,1,30
135,,0.147822,,-0.088073,1,36
136,0.152969,0.122152,1.949981,0.647884,0,36
137,0.073237,0.083044,0.018070,0.332726,0,36
138,,0.083044,,0.332726,0,30
139,,0.083044,,0.332726,2,36
140,,0.096698,,0.537138,1,42
141,,,,,1,48
142,0.106234,0.110813,-0.234458,0.577865,0,42
143,,0.110813,,0.577865,0,36
144,,0.110813,,0.577865,2,42
145,0.072136,0.101144,-0.486385,0.311802,0,36
146,0.144953,0.099140,-0.226314,-0.232272,0,36
147,0.018485,0.085452,-0.051598,-0.249689,0,36
148,0.120717,0.092505,-0.597198,-0.319190,0,36
149,0.070129,0.088775,-0.177795,-0.295625,0,24
150,0.097302,0.089994,-0.160437,-0.276312,0,18
151,,0.089994,,-0.276312,2,24
152,,0.087287,,-0.283288,0,24
153,0.350232,0.124850,4.633114,0.419055,0,24
154,0.022057,0.112001,0.115660,0.381131,0,12
155,,0.117696,,0.505062,1,18
156,0.157370,0.119470,6.543033,1.472111,0,18
157,0.039945,0.122536,0.048415,1.486399,0,18
158,,0.122839,,1.833665,1,24
159,,0.133381,,2.235957,0,24
160,0.044291,0.122779,0.061661,2.280377,0,24
161,,0.122779,,2.280377,1,18
162,0.072794,0.114448,-0.049130,1.892126,0,18
163,,0.067291,,1.343928,1,24
164,0.070137,0.076907,-0.997342,1.121327,0,24
165,0.028480,0.068836,-0.251553,0.892514,0,18
166,,0.051129,,-0.237590,1,24
167,,0.053925,,-0.309091,1,30
168,,0.053925,,-0.309091,1,30
169,,0.053925,,-0.309091,1,36
170,,0.057137,,-0.432675,0,36
171,,0.057137,,-0.432675,1,36
172,0.049297,0.049305,0.290344,-0.319517,0,36
173,,0.049305,,-0.319517,1,36
174,,,,,1,42
175,,,,,1,48
176,,,,,1,48
177,,,,,1,48
178,,,,,1,48
179,,,,,0,42
180,,,,,1,48
181,0.084390,,-0.314212,,0,42
182,0.054071,,-0.455064,,0,42
183,0.077586,0.072016,-0.182579,-0.317285,0,36
184,,0.072016,,-0.317285,1,36
185,,0.072016,,-0.317285,0,30
186,,0.072016,,-0.317285,1,30
187,,0.072016,,-0.317285,1,30
188,,0.072016,,-0.317285,0,24
189,0.077536,0.073396,0.673295,-0.069640,0,24
190,0.094644,0.077645,-0.424111,-0.140534,0,18
191,,0.075959,,-0.097115,1,24
192,,0.083255,,0.022201,1,30
193,,,,,1,36
194,,,,,1,36
195,0.055070,0.075750,-0.499331,-0.083383,0,36
196,,0.075750,,-0.083383,0,30
197,,0.075750,,-0.083383,1,30
198,0.213224,0.110119,0.626339,0.094048,0,30
199,0.325687,0.172156,-0.106514,-0.100904,0,30
200,0.352917,0.236725,1.424626,0.361280,0,30
201,0.241652,0.237710,0.053321,0.299688,0,24
202,0.304904,0.248909,-0.326000,0.195407,0,18
203,0.120799,0.230608,-2.019174,-0.120962,0,12
204,0.081334,0.211948,0.752235,-0.011812,0,6
205,0.925376,0.320737,-0.990694,-0.073233,0,6
206,0.182360,0.305361,0.853902,0.029782,0,6
207,0.103823,0.285208,0.122208,0.039025,0,0
208,0.131879,0.277073,0.282033,0.004594,0,0
209,0.215505,0.266055,-1.038494,-0.088604,0,0
210,0.131048,0.243868,0.967221,-0.134344,0,0
211,0.384284,0.258131,1.896047,0.049928,0,0
212,0.185000,0.246141,0.710145,0.153543,0,0
213,0.072175,0.241278,1.399623,0.495422,0,0
214,0.292084,0.262353,-1.534438,0.266755,0,0
215,0.067790,0.176595,-0.200211,0.345804,0,0
216,0.175987,0.175958,0.627877,0.323201,0,0
217,0.271573,0.192733,0.938931,0.404873,0,0
218,0.469216,0.226466,0.163700,0.393040,0,0
219,0.141699,0.219086,-1.200288,0.376861,0,0
