second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,,,,,0,
3,,,,,1,
4,,,,,2,
5,,,,,1,
6,0.159501,,-1.037860,,0,
7,0.214456,,0.959744,,0,
8,0.024918,,0.511828,,0,
9,0.107049,,1.337911,,0,
10,0.219386,0.145062,1.693092,0.692943,0,30
11,0.280329,0.167607,1.130027,0.765791,0,24
12,0.259221,0.180694,-0.277459,0.616755,0,24
13,0.312086,0.197118,-1.109989,0.400912,0,18
14,,0.197118,,0.400912,1,12
15,0.288366,0.207257,-0.338717,0.318731,0,6
16,,0.213227,,0.488305,1,12
17,,0.213051,,0.420956,0,12
18,,0.244406,,0.405811,1,18
19,0.443177,0.300428,0.076186,0.195523,0,18
20,,0.316636,,-0.103990,1,24
21,0.207371,0.302044,0.712519,-0.187492,0,24
22,,0.312750,,-0.165000,1,30
23,,0.312971,,0.149996,1,36
24,,0.312971,,0.149996,1,36
25,,,,,1,42
26,0.315542,0.322030,1.543149,0.777285,0,36
27,,0.322030,,0.777285,1,42
28,,0.322030,,0.777285,0,36
29,,,,,1,42
30,0.144727,0.222547,0.106966,0.787545,0,36
31,,,,,1,42
32,,,,,0,36
33,0.522003,0.327424,-1.038310,0.203935,0,30
34,0.318853,0.325281,0.024153,0.158989,0,24
35,,0.325281,,0.158989,1,24
36,,0.328528,,-0.302397,0,24
37,0.419266,0.351212,-0.058172,-0.241341,0,18
38,,0.351212,,-0.241341,1,24
39,,0.351212,,-0.241341,1,24
40,0.166333,0.356614,1.218643,0.036578,0,24
41,0.200686,0.325428,1.687153,0.366693,0,18
42,0.112184,0.289888,-0.210738,0.270455,0,18
43,0.118762,0.222681,2.412019,0.845510,0,18
44,0.257981,0.212535,1.028328,1.012872,0,18
45,0.261795,0.219572,0.934943,1.001739,0,12
46,0.138287,0.209412,1.160887,1.021633,0,12
47,,0.179433,,1.175891,0,12
48,,0.179433,,1.175891,1,12
49,0.273668,0.191212,0.043542,1.034347,0,6
50,0.124346,0.185964,0.344418,0.925069,0,6
51,0.197430,0.185557,1.868365,0.947721,0,6
52,0.161079,0.191668,1.079297,1.108975,0,6
53,,0.202084,,0.922826,0,6
54,,0.192767,,0.905242,1,12
55,,0.178962,,0.899302,1,18
56,,0.189131,,0.833905,1,24
57,0.474190,0.246143,0.876380,0.842400,0,24
58,,0.246143,,0.842400,0,18
59,,0.239261,,1.042115,1,24
60,0.355932,0.297158,1.105870,1.232478,0,24
61,0.157626,0.287207,0.636415,0.924490,0,24
62,0.163646,0.287848,1.301087,0.979938,0,24
63,,0.287848,,0.979938,1,30
64,,0.287848,,0.979938,1,30
65,,0.287848,,0.979938,0,24
66,,0.287848,,0.979938,1,24
67,0.365133,0.260584,1.159999,1.050843,0,24
68,0.453313,0.299130,0.703421,0.981358,0,24
69,0.483104,0.329792,-0.080823,0.804328,0,18
70,,0.324564,,0.744020,1,24
71,,0.366299,,0.770921,1,30
72,,0.433850,,0.594199,1,36
73,,0.433850,,0.594199,2,42
74,,0.433850,,0.594199,0,36
75,,0.433850,,0.594199,1,42
76,,0.433850,,0.594199,1,42
77,,,,,1,48
78,,,,,1,54
79,0.287246,,-0.985813,,0,54
80,0.129577,,1.698396,,0,48
81,0.451176,0.289333,1.515024,0.742536,0,42
82,0.189248,0.264312,2.166455,1.098516,0,36
83,,0.264312,,1.098516,1,30
84,,0.264312,,1.098516,1,36
85,,0.264312,,1.098516,1,36
86,0.156037,0.242657,1.249876,1.128788,0,30
87,,0.242657,,1.128788,1,30
88,,0.242657,,1.128788,1,30
89,,0.231509,,1.657438,1,36
90,,0.265487,,1.643785,2,48
91,0.179401,0.174895,0.698310,1.371547,0,48
92,,,,,1,54
93,,,,,0,48
94,,,,,1,48
95,0.585056,0.306831,-0.826223,0.373988,0,42
96,,,,,1,48
97,,,,,1,48
98,,,,,1,48
99,,,,,1,48
100,,,,,1,42
101,0.252586,,-0.469955,,0,42
102,0.289229,0.375624,0.425750,-0.290143,0,36
103,0.795288,0.480540,1.186772,0.079086,0,36
104,,0.480540,,0.079086,1,36
105,0.479416,0.454130,0.165824,0.327098,0,36
106,0.503167,0.463937,1.699357,0.601550,0,30
107,0.093760,0.402241,0.524214,0.588660,0,24
108,0.603654,0.431014,-0.334007,0.456851,0,18
109,0.412690,0.428724,-0.468105,0.341231,0,12
110,0.230922,0.406746,0.511271,0.360125,0,6
111,,0.426016,,0.463885,0,6
112,,0.445557,,0.469332,1,12
113,,0.387268,,0.349759,1,18
114,,0.387268,,0.349759,1,18
115,,0.368839,,0.386546,1,24
116,,0.335257,,0.058343,0,24
117,,0.415755,,-0.096947,1,30
118,,,,,0,30
119,,,,,1,36
120,,,,,1,42
121,0.096699,,0.266355,,0,42
122,,,,,0,36
123,,,,,1,36
124,,,,,1,36
125,,,,,1,36
126,,,,,1,42
127,,,,,0,36
128,,,,,2,48
129,0.194357,,0.499710,,0,42
130,,,,,1,42
131,0.337631,,-0.503193,,0,42
132,,,,,1,48
133,,,,,0,42
134,0.318946,0.283644,2.222072,0.739530,0,36
135,0.287678,0.284653,2.035453,1.063510,0,30
136,0.821875,0.392097,1.531921,1.157193,0,24
137,0.756782,0.452878,-1.631274,0.692448,0,24
138,,0.452878,,0.692448,1,18
139,,0.504582,,0.730996,0,18
140,,0.504582,,0.730996,2,24
141,,0.546320,,1.039543,1,30
142,,0.546320,,1.039543,0,24
143,,0.546320,,1.039543,0,24
144,,0.622112,,0.645367,1,30
145,0.153993,0.577550,1.220614,0.373754,0,30
146,0.224495,0.378424,0.537960,0.042433,0,30
147,0.224952,0.201147,0.487579,0.748718,0,30
148,,0.201147,,0.748718,1,30
149,,0.201147,,0.748718,2,42
150,,0.201147,,0.748718,2,42
151,,0.201147,,0.748718,1,42
152,0.989501,0.398235,-2.128505,0.029412,0,42
153,1.296450,0.577878,-0.094810,0.004567,0,42
154,0.917279,0.634445,0.545732,0.094762,0,36
155,,0.730535,,-0.130409,0,36
156,,0.857045,,-0.297501,2,48
157,,1.067743,,-0.559195,0,48
158,,1.067743,,-0.559195,2,54
159,,1.067743,,-0.559195,0,42
160,0.379492,0.895681,-0.172861,-0.462611,0,30
161,0.474891,0.811523,0.811115,-0.207866,0,24
162,0.577710,0.729164,0.147607,0.247357,0,24
163,,0.587343,,0.332898,0,24
164,,0.477364,,0.261954,2,36
165,,0.477364,,0.261954,0,36
166,,0.477364,,0.261954,1,30
167,0.229134,0.415307,0.990701,0.444141,0,30
168,0.674224,0.467090,2.303937,0.816100,0,18
169,0.304664,0.440019,1.838227,0.986454,0,18
170,,0.452124,,1.218317,1,24
171,,0.446433,,1.320118,1,30
172,,0.402674,,1.710955,1,36
