second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,,,,,3,
3,,,,,1,
4,0.197829,,1.607498,,0,
5,,,,,0,
6,,,,,2,
7,,,,,1,
8,0.397466,,1.469462,,0,
9,,,,,1,
10,,,,,1,60
11,0.561063,0.385453,0.452608,1.176523,0,54
12,,0.385453,,1.176523,1,42
13,0.360293,0.379163,0.023443,0.888253,0,36
14,0.461080,0.444976,0.836607,0.695530,0,36
15,0.257986,0.407578,1.869014,0.930227,0,36
16,,0.407578,,0.930227,0,24
17,,0.407578,,0.930227,1,24
18,0.132803,0.354645,0.054942,0.647323,0,24
19,,0.354645,,0.647323,1,24
20,0.269337,0.340427,-0.456192,0.463403,0,18
21,,0.296300,,0.465563,0,18
22,,0.296300,,0.465563,1,18
23,0.253706,0.274983,0.307280,0.522330,0,18
24,,0.228458,,0.443761,1,24
25,0.315159,0.242751,1.478862,0.346223,0,24
26,0.547684,0.303738,1.585738,0.594126,0,24
27,0.359140,0.312971,0.651972,0.603767,0,18
28,0.231972,0.329500,1.195241,0.793817,0,18
29,,0.329500,,0.793817,1,18
30,,0.341532,,1.043819,1,24
31,0.371810,0.346578,1.606022,1.137519,0,24
32,0.612116,0.384512,1.210915,1.148004,0,18
33,,0.406314,,1.288125,1,24
34,0.232369,0.381464,-0.166617,1.080305,0,18
35,0.236982,0.370296,-0.334592,0.821240,0,18
36,0.147675,0.313152,1.125921,0.755551,0,18
37,,0.305488,,0.772815,1,24
38,0.161440,0.293732,0.604974,0.674437,0,24
39,,0.293732,,0.674437,0,18
40,,0.293732,,0.674437,1,18
41,,0.278117,,0.488120,1,24
42,0.199780,0.195649,-0.056775,0.234582,0,24
43,,0.195649,,0.234582,0,18
44,,0.186469,,0.334882,2,30
45,,0.169632,,0.558040,1,36
46,,,,,0,36
47,0.270348,0.210523,-0.192414,0.118595,0,30
48,0.301749,0.257292,0.374303,0.041704,0,30
49,0.406042,0.294480,0.576916,0.175507,0,30
50,,0.294480,,0.175507,2,36
51,,0.294480,,0.175507,0,30
52,0.455080,0.358305,1.449248,0.552013,0,30
53,0.363256,0.359295,-0.377051,0.366200,0,30
54,0.197833,0.332385,0.323102,0.359017,0,18
55,,0.332385,,0.359017,1,18
