second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,2,
2,,,,,1,
3,,,,,1,
4,0.078203,,-1.130478,,0,
5,0.256700,,-1.142125,,0,
6,0.287005,,-0.029608,,0,
7,,,,,1,
8,,,,,2,
9,,,,,1,
10,,0.207303,,-0.767404,1,54
11,,0.207303,,-0.767404,1,48
12,,0.207303,,-0.767404,2,54
13,,0.207303,,-0.767404,1,54
14,,,,,0,54
15,,,,,1,60
16,,,,,1,66
17,,,,,1,66
18,,,,,0,54
19,,,,,1,54
20,0.292536,,-0.557488,,0,48
21,0.161754,,-1.275920,,0,42
22,0.103393,0.185895,-0.272539,-0.701983,0,30
23,0.179890,0.184393,-1.938971,-1.011230,0,24
24,0.197888,0.187092,-0.941192,-0.997222,0,24
25,0.294830,0.205049,-2.131765,-1.186313,0,18
26,0.118347,0.192663,1.124350,-0.856218,0,12
27,,0.192663,,-0.856218,2,18
28,,0.192663,,-0.856218,1,24
29,,0.192663,,-0.856218,0,18
30,,0.176017,,-0.906006,1,24
31,,0.178870,,-0.832024,1,30
32,,0.197739,,-0.971895,1,36
33,0.357285,0.242087,0.609830,-0.334694,0,36
34,,0.256821,,-0.132529,1,42
35,,,,,0,42
36,0.207326,,-0.381978,,0,42
37,,,,,1,36
38,,,,,0,30
39,,,,,1,36
40,0.380658,0.315090,-2.087191,-0.619780,0,30
41,0.294286,0.309889,-0.536969,-0.599077,0,24
42,0.235959,0.295103,-0.779845,-0.635231,0,18
43,,0.279557,,-0.946496,1,24
44,,0.279557,,-0.946496,1,24
45,0.103834,0.244412,-0.479039,-0.853004,0,24
46,0.065803,0.216108,0.064465,-0.763716,0,24
47,0.301660,0.230367,-0.179217,-0.666299,0,18
48,0.138226,0.217204,0.486958,-0.501548,0,18
49,0.144621,0.208131,-0.776688,-0.535941,0,12
50,0.157819,0.180276,-0.408617,-0.326119,0,12
51,,0.163989,,-0.295997,0,12
52,,0.151994,,-0.215356,1,18
53,0.100758,0.144674,0.809171,-0.068995,0,12
54,0.411012,0.177967,0.216009,-0.033370,0,6
55,0.082857,0.175345,-0.088655,0.015428,0,6
56,,0.190993,,0.008423,1,12
57,,0.172549,,0.039696,0,12
58,,0.179413,,-0.049756,1,18
59,0.141206,0.178730,0.937904,0.293163,0,18
60,,0.183958,,0.468607,0,18
61,,0.183958,,0.468607,1,24
62,0.090662,0.165299,-0.054733,0.363939,0,18
63,,0.181434,,0.252631,1,24
64,0.147879,0.115651,-0.067151,0.181841,0,24
65,0.211939,0.147921,0.629906,0.361481,0,24
66,,0.147921,,0.361481,1,24
67,0.064285,0.131194,0.209614,0.331108,0,24
68,0.089803,0.124296,-0.369739,0.214300,0,18
69,0.201091,0.134277,-0.303862,0.007339,0,18
70,,0.134277,,0.007339,0,18
71,,0.134277,,0.007339,1,18
72,,0.143000,,0.019754,1,24
73,,0.143000,,0.019754,1,24
74,0.050141,0.123452,-0.602286,-0.087273,0,24
75,,0.101330,,-0.266568,1,30
76,,0.101330,,-0.266568,0,24
77,,0.113679,,-0.425295,1,30
78,,,,,1,36
79,0.196411,,-0.694991,,0,36
80,0.098107,0.114886,0.130332,-0.388982,0,36
81,0.181420,0.131520,-0.672062,-0.459752,0,30
82,,0.131520,,-0.459752,2,36
83,,0.131520,,-0.459752,0,30
84,0.183278,0.164804,-1.073259,-0.577495,0,30
85,0.340116,0.199867,0.678855,-0.326225,0,24
86,0.142801,0.190356,0.632157,-0.166495,0,24
87,0.115983,0.179731,1.348880,0.049988,0,18
88,0.267298,0.190677,0.013027,0.045367,0,12
89,,0.189858,,0.151133,1,18
90,,0.205150,,0.154600,1,24
91,0.161058,0.201756,-1.447351,0.025385,0,24
92,0.208224,0.202680,0.465366,0.088239,0,12
93,0.355407,0.221771,0.348672,0.120793,0,12
94,0.361045,0.243992,-1.001315,0.129786,0,12
95,0.339640,0.243932,-1.278546,-0.114889,0,12
96,,0.258379,,-0.221609,1,18
97,,0.282112,,-0.483358,0,18
98,0.474256,0.316605,-0.372769,-0.547657,0,18
99,0.774507,0.382020,-1.459189,-0.677876,0,12
100,0.356679,0.378852,0.583648,-0.520185,0,6
101,0.329267,0.399878,0.221844,-0.311536,0,6
102,0.378439,0.421155,2.365403,-0.074031,0,6
103,0.165961,0.397474,1.003452,0.007816,0,6
104,0.385364,0.400514,0.061148,0.140624,0,6
105,0.235179,0.387457,-1.215756,0.148473,0,6
106,0.137040,0.359632,1.820295,0.334231,0,0
107,0.239399,0.347609,2.082144,0.509022,0,0
108,,0.333537,,0.606999,1,6
109,,0.278416,,0.865272,0,6
110,,0.267236,,0.905504,1,12
111,,0.256897,,1.019448,1,18
112,0.242776,0.234286,-0.093402,0.609647,0,18
113,0.127391,0.227858,0.296027,0.491743,0,18
114,0.069043,0.175138,-0.638368,0.375157,0,18
115,0.267057,0.180451,1.259197,0.787649,0,18
116,,0.189133,,0.581120,1,24
117,0.174559,0.176165,0.583527,0.281396,0,24
118,,0.176165,,0.281396,1,24
119,,0.176165,,0.281396,0,24
120,,0.176165,,0.281396,2,30
121,0.038562,0.153231,-1.147769,0.043202,0,24
122,,0.135322,,0.070523,1,30
123,,0.137305,,0.014147,0,30
124,0.254656,0.183709,0.760374,0.363832,0,30
125,,0.155926,,0.065377,1,36
126,,0.155926,,0.065377,1,36
127,,,,,1,42
128,,,,,1,42
129,0.199531,0.164250,-0.766483,-0.384626,0,42
130,0.261655,0.188601,-0.339017,-0.373224,0,30
131,0.405445,0.280322,1.133744,0.197155,0,30
132,0.248972,0.274052,-0.383690,0.080986,0,24
133,0.240969,0.268538,0.835972,0.206817,0,24
134,0.158723,0.252549,1.034521,0.252508,0,24
135,0.149622,0.237845,0.739397,0.322064,0,18
136,0.349295,0.251777,-0.098967,0.269435,0,12
137,0.138604,0.239202,0.483975,0.293272,0,6
138,0.472344,0.262516,-0.749734,0.188972,0,0
139,0.328344,0.275397,2.373815,0.503002,0,0
140,0.275459,0.276778,1.444471,0.681350,0,0
141,0.082553,0.244489,-0.747101,0.493266,0,0
142,0.077809,0.227372,0.275762,0.559211,0,0
143,0.098198,0.213095,0.886205,0.564234,0,0
144,0.173509,0.214574,0.466974,0.507480,0,0
145,0.250730,0.224685,-1.106353,0.322905,0,0
146,0.201104,0.209865,-0.258898,0.306912,0,0
147,0.134420,0.209447,-0.585700,0.199944,0,0
148,,0.180236,,0.305464,1,6
149,,0.161723,,0.046920,0,6
150,0.286139,0.163058,0.695966,-0.046643,0,6
151,0.221778,0.180461,0.415479,0.098679,0,6
152,0.211463,0.197168,-0.125606,0.048508,0,6
153,0.181162,0.207538,1.931465,0.179166,0,6
154,0.113987,0.200098,0.581977,0.193541,0,6
155,,0.192865,,0.379240,1,12
156,0.009801,0.165536,0.474245,0.483975,0,12
157,0.183508,0.172548,0.933048,0.700939,0,12
158,,0.172548,,0.700939,1,12
159,0.138591,0.168304,0.491597,0.674771,0,12
160,,0.151470,,0.671744,1,18
161,0.108131,0.135235,-0.280051,0.572382,0,18
162,0.443965,0.168449,0.461196,0.656211,0,18
163,0.180510,0.168356,0.961736,0.517678,0,18
164,0.274106,0.191230,0.981848,0.574803,0,18
165,0.162677,0.187661,-0.789759,0.404233,0,12
166,0.113513,0.200625,-0.179628,0.322498,0,12
167,0.349865,0.221420,0.294825,0.242720,0,12
168,0.308066,0.231047,1.164394,0.345129,0,6
169,0.262126,0.244773,-0.392276,0.246921,0,6
170,0.187969,0.239093,-0.191129,0.203116,0,0
171,0.235423,0.251822,1.453672,0.376488,0,0
172,0.190434,0.226469,0.678479,0.398216,0,0
173,0.312832,0.239701,0.293617,0.331404,0,0
174,0.178495,0.230140,0.617548,0.294974,0,0
175,0.298739,0.243746,1.452944,0.519245,0,0
176,,0.258217,,0.596897,0,0
177,,0.246761,,0.634656,2,12
178,,0.238003,,0.558979,0,12
179,0.341687,0.249368,1.018211,0.760477,0,12
180,0.220641,0.254036,-0.368715,0.735108,0,12
181,,0.257138,,0.615347,1,18
182,0.074396,0.237798,0.617089,0.605115,0,18
183,0.232082,0.224340,-0.994100,0.390496,0,18
184,0.255865,0.237235,-0.698277,0.171192,0,18
185,0.223097,0.224628,0.579906,0.025686,0,18
186,0.379549,0.246760,0.063131,0.031035,0,18
187,0.148749,0.234508,-0.223934,-0.000836,0,6
188,0.211154,0.231913,-0.002740,-0.001048,0,6
189,0.230368,0.219545,-0.520907,-0.172061,0,6
190,0.297388,0.228072,2.014984,0.092795,0,6
191,0.217391,0.227004,-0.171485,0.066367,0,0
192,0.162696,0.235834,0.486686,0.053326,0,0
193,0.326487,0.245274,0.479598,0.200696,0,0
194,0.411128,0.260801,1.746873,0.445211,0,0
195,0.176355,0.256126,-0.071317,0.380089,0,0
