second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,0.876092,,0.184485,,0,
3,,,,,1,
4,,,,,0,
5,0.792786,,0.803600,,0,
6,,,,,0,
7,,,,,2,
8,,,,,0,
9,,,,,2,
10,,,,,0,36
11,0.725206,0.798028,0.913941,0.634009,0,30
12,0.309594,0.609195,0.535601,0.751047,0,30
13,,0.609195,,0.751047,0,24
14,,0.609195,,0.751047,2,36
15,,,,,1,42
16,,,,,1,48
17,,,,,0,36
18,,,,,0,36
19,,,,,1,30
20,,,,,1,36
21,0.475781,,-0.603993,,0,36
22,,,,,1,42
23,,,,,1,48
24,,,,,2,48
25,,,,,1,48
26,,,,,1,48
27,,,,,1,54
28,,,,,1,60
29,,,,,1,60
30,0.474459,,0.148415,,0,54
31,0.126683,,0.252122,,0,54
32,0.391395,0.330845,0.736673,0.379070,0,48
33,0.522071,0.378652,0.197291,0.333625,0,42
34,0.863810,0.475683,1.157695,0.498439,0,30
35,0.300290,0.446451,1.213797,0.617666,0,24
36,,0.446451,,0.617666,1,24
37,,0.446451,,0.617666,1,24
38,,0.446451,,0.617666,0,18
39,0.256348,0.419294,0.113937,0.545704,0,12
40,0.483998,0.420656,2.212882,0.840628,0,12
41,0.269141,0.441007,0.578824,0.887300,0,12
42,0.989703,0.526480,0.853146,0.903939,0,12
43,0.675180,0.548353,1.469784,1.085724,0,12
44,,0.495777,,1.073728,1,18
45,0.965202,0.606595,0.913695,1.023711,0,18
46,0.269699,0.558467,0.030310,0.881797,0,12
47,,0.558467,,0.881797,1,12
48,0.903369,0.601580,1.132511,0.913136,0,12
49,,0.650899,,1.027307,1,18
50,0.240219,0.616073,0.819321,0.828227,0,18
51,,0.673895,,0.869795,1,24
52,,0.610734,,0.873124,1,30
53,,0.594622,,0.723959,0,30
54,0.982591,0.672216,2.690695,1.117306,0,24
55,0.436708,0.566517,0.835544,1.101676,0,24
56,0.193421,0.551262,0.653001,1.226214,0,24
57,0.572187,0.554749,2.100920,1.371998,0,18
58,,0.485025,,1.419896,1,24
59,,0.485025,,1.419896,0,18
60,,0.546227,,1.570040,1,24
61,,0.546227,,1.570040,1,24
62,,0.546227,,1.570040,0,18
63,0.144359,0.465853,0.771599,1.410352,0,18
64,0.246039,0.318543,0.136247,0.899462,0,18
65,0.180817,0.267364,1.360149,1.004383,0,18
66,0.293341,0.287349,0.680118,1.009807,0,18
67,0.445628,0.262037,0.862547,0.762132,0,18
68,0.181317,0.248583,0.476524,0.714531,0,12
69,0.173985,0.237927,1.222302,0.787069,0,12
70,0.325415,0.248863,-0.110095,0.674924,0,6
71,0.407020,0.266436,1.225415,0.736090,0,0
72,0.154815,0.255274,1.152527,0.777733,0,0
73,0.464080,0.287246,-0.386650,0.661908,0,0
74,0.776775,0.340319,-0.209864,0.627297,0,0
75,0.582463,0.380484,0.336994,0.524982,0,0
76,0.582145,0.409364,0.539617,0.510932,0,0
77,0.314240,0.396225,-0.851073,0.339570,0,0
78,0.492160,0.427310,-0.514361,0.240481,0,0
79,0.166908,0.426602,1.553200,0.273571,0,0
80,0.223515,0.416412,-0.212140,0.263367,0,0
81,0.460729,0.421783,2.529700,0.393795,0,0
82,0.561034,0.462405,0.047282,0.283271,0,0
83,0.424717,0.458468,1.038854,0.425821,0,0
84,0.424735,0.423264,-0.772466,0.369561,0,0
85,0.252615,0.390280,-0.653126,0.270549,0,0
86,0.084343,0.340499,0.423327,0.258920,0,0
87,0.140964,0.323172,-0.484286,0.295598,0,0
88,0.485645,0.322520,0.342920,0.381326,0,0
89,0.235575,0.329387,0.011580,0.227164,0,0
90,0.190194,0.326055,0.066804,0.255059,0,0
91,0.285960,0.308578,-0.420056,-0.039917,0,0
92,0.405966,0.293071,0.034678,-0.041177,0,0
93,0.121678,0.262768,0.798159,-0.065247,0,0
94,0.143300,0.234624,0.314842,0.043484,0,0
95,0.269370,0.236300,0.206304,0.129427,0,0
96,,0.253184,,0.096772,2,12
97,,0.267211,,0.169404,1,18
98,0.583491,0.279442,-0.142198,0.108764,0,18
99,,0.285708,,0.122648,2,30
100,,0.301628,,0.131955,0,30
101,0.316942,0.306791,-0.660701,0.091847,0,30
102,0.227695,0.277079,-1.610989,-0.182430,0,30
103,0.469042,0.334973,0.199801,-0.282157,0,30
104,0.274027,0.356761,1.612162,-0.065937,0,30
105,0.342304,0.368917,-0.055657,-0.109597,0,30
106,,0.368917,,-0.109597,1,24
107,0.524677,0.391168,0.186760,-0.067260,0,18
108,0.154630,0.329902,0.594891,0.038038,0,18
109,0.378073,0.335924,1.964315,0.278823,0,6
110,,0.335924,,0.278823,1,12
111,,0.338635,,0.413040,1,18
112,,0.357125,,0.750379,0,18
113,,0.334742,,0.860494,1,24
114,0.222736,0.324484,0.277529,0.593568,0,24
115,0.166297,0.289282,-1.090072,0.386685,0,24
116,0.320849,0.294544,1.709131,0.607092,0,18
117,0.690360,0.322157,1.890626,0.891070,0,18
118,0.700481,0.413133,0.161343,0.818812,0,18
119,1.565585,0.611051,0.136246,0.514134,0,18
120,0.465552,0.590266,-0.392784,0.384574,0,12
121,,0.590266,,0.384574,1,12
122,0.318713,0.556322,-0.789532,0.237811,0,12
123,,0.556322,,0.237811,1,12
124,0.646421,0.609282,-0.652872,0.121511,0,12
125,0.391405,0.637421,-0.479300,0.197857,0,12
126,0.632376,0.676362,-0.549312,-0.084448,0,12
127,0.305232,0.628221,-0.581904,-0.393514,0,12
128,0.314357,0.579955,0.719148,-0.323789,0,12
129,0.477941,0.444000,-0.571184,-0.412217,0,12
130,0.222966,0.413676,1.430144,-0.184351,0,12
131,0.480928,0.421149,2.396420,0.102401,0,6
132,0.399325,0.430106,-0.811117,0.100003,0,6
133,,0.430106,,0.100003,1,6
134,0.265149,0.387742,0.572052,0.236105,0,6
135,0.594066,0.410260,1.318065,0.435812,0,6
136,0.622728,0.409188,0.931345,0.600330,0,6
137,0.218304,0.399529,0.122590,0.678607,0,6
138,0.341850,0.402584,0.348869,0.637465,0,6
139,0.164778,0.367788,0.586108,0.766053,0,6
140,,0.385891,,0.683041,1,12
141,0.291307,0.362188,0.041013,0.388616,0,12
142,0.370038,0.358527,-0.023658,0.487048,0,12
143,0.638392,0.389624,0.153608,0.449999,0,6
144,0.197228,0.382077,0.381902,0.428871,0,6
145,,0.355578,,0.317722,1,12
146,,0.317414,,0.230062,0,12
147,0.348791,0.336055,-0.173676,0.187738,0,12
148,,0.335089,,0.160883,1,18
149,0.748032,0.432298,0.521808,0.150166,0,18
150,0.675324,0.467016,0.921936,0.260419,0,12
151,,0.496301,,0.296987,1,18
152,,0.521554,,0.361116,0,18
153,0.271530,0.448181,-1.120741,0.106246,0,18
154,0.114293,0.431594,3.010608,0.631987,0,18
155,,0.431594,,0.631987,1,18
156,,0.431594,,0.631987,0,18
157,0.495031,0.460842,0.531966,0.773116,0,18
158,,0.460842,,0.773116,0,12
159,,0.389044,,0.835942,1,18
160,,0.293618,,0.807278,0,18
161,,0.293618,,0.807278,1,18
162,0.283504,0.291089,-1.155686,0.316537,0,18
163,,0.297609,,0.795629,1,24
164,0.238415,0.338983,0.226340,-0.132460,0,24
165,0.192429,0.302345,-0.333719,-0.182775,0,18
166,0.557354,0.353346,-1.169958,-0.380211,0,18
167,,0.317925,,-0.608256,2,30
168,,0.317925,,-0.608256,0,30
169,0.190082,0.292357,-0.665801,-0.619765,0,24
170,0.384155,0.307656,2.159894,-0.156488,0,24
171,0.350642,0.313797,2.408484,0.209936,0,18
172,0.733911,0.378141,0.250338,0.410797,0,18
173,0.514052,0.395130,1.219844,0.511928,0,12
174,,0.417518,,0.552726,1,18
175,0.098033,0.404033,1.338193,0.791571,0,18
176,0.421615,0.384642,2.346489,1.293920,0,18
177,0.336823,0.378664,1.027934,1.260672,0,6
178,,0.378664,,1.260672,1,12
179,,0.405605,,1.535882,0,12
180,,0.409179,,1.431880,1,18
181,0.618781,0.453869,-0.285105,0.982949,0,18
182,0.334238,0.387257,0.141104,0.964743,0,18
183,0.320476,0.354994,0.478532,0.841191,0,18
184,,0.354994,,0.841191,1,18
185,0.414812,0.407791,-0.214922,0.582339,0,18
186,0.441033,0.411027,0.719052,0.311099,0,18
187,0.202657,0.388666,1.692557,0.421870,0,18
188,,0.388666,,0.421870,0,12
189,,0.388666,,0.421870,1,18
190,,0.388666,,0.421870,2,24
191,,0.342643,,0.563265,1,30
192,,0.344745,,0.668805,1,36
193,0.319575,0.344519,0.351337,0.637006,0,36
194,0.239669,0.323549,1.731357,0.855876,0,30
195,0.168894,0.274366,0.047566,0.908374,0,30
196,0.522147,0.290588,0.441106,0.852784,0,30
197,0.422538,0.334565,-0.231443,0.467985,0,30
198,,0.334565,,0.467985,1,36
199,0.571454,0.374046,1.278756,0.603113,0,30
200,0.628056,0.410333,0.008101,0.518111,0,18
201,,0.410333,,0.518111,1,18
202,,0.410333,,0.518111,1,18
203,0.396560,0.421331,0.347186,0.517518,0,18
204,,0.451608,,0.315212,1,24
205,,0.508151,,0.368741,1,30
206,0.393192,0.482360,0.857052,0.451931,0,30
207,0.190750,0.436002,-0.619873,0.374244,0,30
208,0.501129,0.446857,-0.842100,0.171520,0,24
209,0.106152,0.369306,0.274852,0.004203,0,24
210,0.524469,0.352042,0.382352,0.066578,0,24
211,1.033915,0.449452,-0.718207,-0.045534,0,18
212,0.264941,0.426388,-1.296025,-0.201845,0,12
213,,0.430650,,-0.280278,1,18
214,,0.430650,,-0.280278,1,18
215,0.490912,0.438183,-1.119714,-0.385208,0,12
216,0.410400,0.440334,0.568315,-0.421300,0,12
217,0.374729,0.463331,-0.107480,-0.357251,0,12
218,0.239959,0.430685,0.357138,-0.207346,0,12
219,0.247700,0.448378,-0.579458,-0.314135,0,12
220,0.232291,0.411856,0.817519,-0.259739,0,12
221,0.684185,0.368140,-0.224744,-0.198056,0,12
222,0.533743,0.401740,-0.676803,-0.120654,0,12
223,0.573867,0.420865,-0.895797,-0.206781,0,6
224,0.261061,0.404885,-0.166721,-0.202775,0,0
225,0.333148,0.389108,0.267455,-0.064058,0,0
226,,0.386743,,-0.134321,1,6
227,,0.388244,,-0.137677,0,6
228,0.454846,0.415105,1.761610,0.037883,0,6
229,1.748444,0.602698,0.110386,0.124113,0,6
230,0.335817,0.615639,-0.068852,0.013317,0,6
231,,0.605847,,0.047326,1,12
232,0.351229,0.579773,1.764566,0.396093,0,12
233,0.412349,0.556699,0.280832,0.564182,0,12
234,0.430851,0.580955,-1.067356,0.435520,0,12
235,0.294759,0.575471,0.947875,0.532723,0,12
236,0.436962,0.558157,-1.881372,0.230961,0,6
237,0.467665,0.548103,-1.025446,0.091360,0,6
238,0.635476,0.568173,0.416010,-0.058151,0,6
239,0.202771,0.396431,2.299002,0.185029,0,6
240,0.337146,0.396579,-0.813780,0.102259,0,6
241,0.498517,0.406773,-0.162201,0.075813,0,0
242,,0.412944,,-0.111826,1,6
243,0.576912,0.431229,-0.220347,-0.167513,0,6
244,0.474217,0.436047,0.171935,-0.029814,0,6
245,0.293292,0.435884,-0.191003,-0.156356,0,6
246,0.285028,0.419003,4.315549,0.532191,0,6
247,,0.412920,,0.726896,1,12
248,0.772484,0.430046,0.709512,0.763583,0,12
249,0.485435,0.465379,0.251880,0.507693,0,12
250,,0.483698,,0.696475,1,18
251,0.526037,0.487629,0.514929,0.793208,0,18
252,0.423071,0.479559,0.012694,0.695644,0,12
253,,0.465652,,0.826499,1,18
254,0.371806,0.451022,-0.745312,0.695464,0,18
