second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,2,
2,,,,,0,
3,,,,,1,
4,0.917578,,0.018992,,0,
5,,,,,1,
6,0.336716,,0.828548,,0,
7,,,,,1,
8,,,,,1,
9,,,,,1,
10,,,,,1,48
11,,,,,1,42
12,,,,,2,54
13,,,,,0,48
14,,,,,1,54
15,0.221115,,-1.836159,,0,48
16,0.777194,,-0.245208,,0,48
17,0.202843,0.400384,0.622393,-0.486325,0,42
18,0.264304,0.366364,-0.167901,-0.406719,0,36
19,0.311565,0.355404,-0.231820,-0.371739,0,30
20,,0.355404,,-0.371739,1,30
21,1.148632,0.487609,-0.763030,-0.436954,0,24
22,0.396788,0.474634,2.781335,0.022801,0,12
23,0.283032,0.450684,0.751127,0.113842,0,12
24,,0.450684,,0.113842,1,12
25,,0.483480,,0.392414,0,12
26,0.145380,0.393221,0.011079,0.429026,0,12
27,,0.424950,,0.396798,1,18
28,0.904501,0.531650,-0.273255,0.379239,0,18
29,0.810062,0.614732,0.618890,0.521024,0,18
30,0.747231,0.633661,-0.939122,0.312432,0,12
31,0.272055,0.508436,-0.483404,0.352379,0,12
32,0.148135,0.472914,-0.821548,-0.162319,0,12
33,0.257445,0.469258,-0.218068,-0.300775,0,12
34,0.359336,0.455518,2.907811,0.100298,0,6
35,0.435604,0.453305,-0.195206,0.067464,0,6
36,0.242960,0.464148,0.514134,0.123359,0,6
37,,0.464148,,0.123359,0,0
38,,0.409104,,0.172936,2,12
39,0.284677,0.343430,1.842148,0.325843,0,12
40,,0.285745,,0.506552,1,18
41,0.213186,0.277335,2.121584,0.878694,0,18
42,0.195651,0.284123,1.044326,1.145247,0,18
43,0.197531,0.275564,1.828006,1.437543,0,18
44,0.435951,0.286509,0.041346,1.028048,0,18
45,0.328089,0.271149,2.134610,1.360879,0,18
46,0.245451,0.271505,2.626416,1.662634,0,18
47,0.304898,0.275679,0.566959,1.525675,0,18
48,0.399138,0.289397,1.109141,1.479393,0,6
49,0.564772,0.320518,0.617023,1.343268,0,6
50,0.189339,0.307401,-0.002534,1.208688,0,0
51,1.190363,0.405118,0.737219,1.070251,0,0
52,0.270809,0.412634,-0.164575,0.949361,0,0
53,0.294839,0.422365,-0.726716,0.693889,0,0
54,0.216135,0.400383,1.326891,0.822443,0,0
55,0.238116,0.391386,2.774634,0.886446,0,0
56,0.418481,0.408689,1.500707,0.773875,0,0
57,,0.420221,,0.796865,1,6
58,,0.422857,,0.757831,0,6
59,0.837014,0.456887,-0.619660,0.603246,0,6
60,0.216781,0.460317,-0.301122,0.565922,0,6
61,0.751707,0.405485,0.600472,0.548829,0,6
62,0.189388,0.395308,-0.400175,0.519379,0,6
63,0.342324,0.401243,0.915511,0.724657,0,6
64,0.104772,0.387323,-0.407425,0.507868,0,6
65,0.166933,0.378425,0.093448,0.172719,0,6
66,0.462729,0.383956,0.380547,0.032699,0,6
67,0.230719,0.366930,1.081231,0.149203,0,0
68,0.284670,0.358704,1.286889,0.262971,0,0
69,0.325095,0.307512,2.184093,0.543347,0,0
70,0.346345,0.320468,0.008367,0.574296,0,0
71,0.291554,0.274453,0.082310,0.522480,0,0
72,,0.283904,,0.624997,0,0
73,,0.276602,,0.588682,1,6
74,0.431749,0.317474,-0.377752,0.592392,0,6
75,0.410188,0.347881,1.124499,0.721273,0,6
76,0.452874,0.346649,-0.741048,0.581074,0,6
77,0.221183,0.345457,1.840364,0.675965,0,6
78,,0.354141,,0.588691,1,12
79,0.608922,0.394688,0.270500,0.315320,0,12
80,,0.402745,,0.366479,1,18
81,,0.424983,,0.423313,1,24
82,0.522858,0.441296,-0.435832,0.280122,0,24
83,,0.441296,,0.280122,1,24
84,0.378925,0.432492,1.238437,0.549487,0,24
85,1.011133,0.532649,0.662482,0.472484,0,24
86,0.333207,0.512705,1.979177,0.925855,0,24
87,0.366957,0.537000,0.904080,0.769807,0,24
88,0.538552,0.537222,1.685618,0.900637,0,18
89,0.358088,0.501389,1.011771,1.006533,0,18
90,1.180140,0.586232,0.894649,0.992548,0,12
91,0.693087,0.598105,-0.500078,0.826700,0,6
92,0.231457,0.565727,-0.020031,0.872901,0,6
93,0.224815,0.531636,0.375169,0.823127,0,0
94,0.061353,0.499879,-0.315088,0.667775,0,0
95,0.204079,0.419173,0.522546,0.653781,0,0
96,0.439184,0.429771,0.567098,0.512573,0,0
97,0.287600,0.421835,1.100712,0.532237,0,0
98,0.280344,0.396015,-1.140131,0.249662,0,0
99,0.445360,0.404742,0.972387,0.245723,0,0
100,0.416782,0.328406,0.665555,0.222814,0,0
101,0.247577,0.283855,0.127811,0.285603,0,0
102,0.225983,0.283308,-0.609121,0.226694,0,0
103,0.170333,0.277859,-0.223697,0.166807,0,0
104,0.390281,0.310752,1.379254,0.336241,0,0
105,0.259927,0.316337,-0.744795,0.209507,0,0
106,0.506636,0.323082,-0.371398,0.115658,0,0
107,0.760129,0.370335,-0.077779,-0.002191,0,0
108,0.314217,0.373722,-1.264365,-0.014615,0,0
109,,0.365763,,-0.124282,1,6
110,0.631371,0.389606,0.628856,-0.128359,0,6
111,,0.407360,,-0.160381,0,6
112,,0.433271,,-0.096275,1,12
113,0.206078,0.438377,-0.329026,-0.111322,0,12
114,0.361998,0.434337,2.221979,0.009067,0,12
115,0.166095,0.420932,-0.421325,0.055277,0,12
116,0.335724,0.396516,1.190909,0.278464,0,12
117,0.409225,0.346387,0.949550,0.425225,0,12
118,0.269788,0.340040,0.411810,0.664679,0,12
119,0.444471,0.353094,-1.523759,0.391124,0,6
120,0.361867,0.319406,0.148356,0.331062,0,6
121,0.792369,0.371957,0.031812,0.297812,0,6
122,0.245816,0.359343,0.215521,0.289583,0,0
123,0.181041,0.356839,-0.184749,0.304010,0,0
124,0.455378,0.366177,0.309935,0.112806,0,0
125,0.145883,0.364156,-0.599263,0.095012,0,0
126,0.247981,0.355382,0.906127,0.066534,0,0
127,0.169646,0.331424,-0.171216,-0.045543,0,0
128,,0.338272,,-0.096360,1,6
129,,0.324998,,0.082065,1,12
130,0.168996,0.300889,0.233064,0.092654,0,12
131,0.196164,0.226363,-0.635441,0.009247,0,12
132,0.453582,0.252334,-0.292046,-0.054199,0,12
133,0.361044,0.274834,0.016417,-0.029053,0,12
134,0.137110,0.235051,1.136642,0.074285,0,12
135,0.304575,0.254887,-1.020940,0.021576,0,12
136,0.188939,0.247507,0.118108,-0.076927,0,12
137,0.424988,0.279425,1.409185,0.120624,0,12
138,0.252541,0.276438,0.556639,0.169070,0,6
139,0.357268,0.284521,-0.545169,0.097646,0,0
140,0.752693,0.342890,0.879022,0.162242,0,0
141,0.295289,0.352803,-1.499326,0.075853,0,0
142,0.422589,0.349704,0.402244,0.145282,0,0
143,0.096567,0.323256,1.140414,0.257682,0,0
144,0.177821,0.327327,-0.898686,0.054149,0,0
145,0.201816,0.317051,1.895597,0.345803,0,0
146,0.319252,0.330082,-0.316898,0.302302,0,0
147,,0.319537,,0.179315,1,6
148,,0.327912,,0.132150,0,6
149,,0.323718,,0.228910,1,12
150,,0.252222,,0.120558,1,18
151,0.252670,0.245119,0.851957,0.512438,0,18
152,0.279317,0.221240,-1.680856,0.165255,0,18
153,0.235436,0.244385,0.616057,0.077862,0,18
154,,0.257698,,0.273171,1,24
155,0.593343,0.336003,0.442762,-0.017396,0,24
156,0.478044,0.367762,2.314376,0.508859,0,24
157,,0.367762,,0.508859,1,24
158,,0.367762,,0.508859,0,24
159,,0.367762,,0.508859,1,24
160,,0.367762,,0.508859,0,18
161,,0.396535,,0.423085,1,24
162,0.481707,0.447132,1.758133,1.282832,0,24
163,,0.517698,,1.505090,1,30
164,,0.517698,,1.505090,0,24
165,0.339902,0.433218,0.147686,1.406732,0,24
166,,,,,0,24
167,,,,,1,24
168,,,,,1,30
169,,,,,1,30
170,,,,,2,42
171,,,,,0,36
172,,,,,1,42
173,,,,,1,42
174,0.412497,,-0.723519,,0,42
175,0.268116,,-2.181264,,0,42
176,0.337099,0.339237,0.350851,-0.851311,0,42
177,,0.339237,,-0.851311,0,36
178,,0.339237,,-0.851311,1,36
179,,0.339237,,-0.851311,1,36
180,0.273963,0.322919,1.551425,-0.250627,0,24
181,0.439223,0.346180,-0.024610,-0.205423,0,24
182,0.104323,0.305870,0.585014,-0.073684,0,18
183,0.322050,0.308182,0.415070,-0.003862,0,12
184,0.377007,0.303112,-0.130305,0.080883,0,12
185,0.265434,0.302728,-0.706781,0.291523,0,12
186,,0.297000,,0.281635,1,18
187,,0.297000,,0.281635,1,24
188,,0.297000,,0.281635,0,18
189,,0.297000,,0.281635,0,12
190,,0.301607,,0.027677,1,18
191,,0.267204,,0.040749,1,24
192,,0.321497,,-0.140672,0,24
193,0.508608,0.383683,-0.684804,-0.507297,0,24
194,0.348054,0.374032,1.700489,0.102968,0,24
195,,,,,1,30
196,0.472194,0.442952,-1.076979,-0.020432,0,24
197,,0.442952,,-0.020432,1,24
198,,0.442952,,-0.020432,0,24
199,0.277130,0.401497,0.571934,0.127660,0,24
200,0.298729,0.380943,0.575356,0.217199,0,18
201,0.527480,0.405366,-0.154267,0.155288,0,12
202,,0.405366,,0.155288,0,12
203,,0.384717,,0.323306,2,24
204,,0.393883,,-0.020989,1,30
205,0.257730,0.366653,0.157091,0.014627,0,24
206,0.280023,0.328218,-0.073167,0.215389,0,24
207,0.554377,0.365912,0.394798,0.245291,0,18
208,,0.365912,,0.245291,1,24
209,0.580660,0.416500,-0.694393,0.034236,0,24
210,0.294066,0.415723,-0.254502,-0.104073,0,24
211,0.503666,0.411754,0.354479,-0.019282,0,24
212,,0.411754,,-0.019282,1,30
213,,0.411754,,-0.019282,1,24
214,0.235311,0.386548,-1.422749,-0.219778,0,18
215,0.334870,0.397568,-0.757939,-0.350496,0,18
216,0.414776,0.416818,0.184850,-0.313637,0,18
217,,0.393891,,-0.431709,1,24
218,0.208881,0.367461,0.287417,-0.328977,0,18
219,0.279479,0.324436,0.698249,-0.130028,0,18
220,0.349867,0.332407,-1.111478,-0.252453,0,18
221,0.083380,0.272366,0.723508,-0.199735,0,18
