second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,,,,,1,
3,,,,,1,
4,0.092556,,-0.744071,,0,
5,,,,,1,
6,,,,,0,
7,,,,,1,
8,0.265671,,-0.224312,,0,
9,,,,,1,
10,,,,,1,42
11,,,,,1,42
12,0.128766,0.162331,-1.118682,-0.695689,0,36
13,0.054352,0.135336,0.370539,-0.429132,0,30
14,,0.149596,,-0.324152,1,36
15,,0.149596,,-0.324152,2,42
16,,0.149596,,-0.324152,0,42
17,,0.149596,,-0.324152,1,42
18,,,,,2,54
19,0.569950,0.251023,0.423224,-0.108306,0,48
20,,0.251023,,-0.108306,0,42
21,,0.251023,,-0.108306,1,42
22,,,,,2,54
23,,,,,1,60
24,,,,,2,66
25,,,,,2,66
26,,,,,1,72
27,,,,,1,72
28,,,,,1,66
29,,,,,1,72
30,,,,,2,84
31,,,,,0,78
32,,,,,2,78
33,,,,,1,78
34,,,,,1,72
35,,,,,1,66
36,,,,,2,72
37,,,,,1,72
38,,,,,1,72
39,,,,,0,66
40,,,,,2,66
41,,,,,1,72
42,0.052880,,0.761057,,0,60
43,,,,,0,54
44,,,,,1,54
45,,,,,1,54
46,,,,,0,42
47,,,,,2,48
48,,,,,0,42
49,,,,,1,48
50,,,,,1,42
51,,,,,1,42
52,,,,,0,42
53,,,,,1,48
54,,,,,1,48
55,,,,,1,48
56,,,,,1,54
57,,,,,1,48
58,,,,,1,54
59,,,,,0,48
60,,,,,1,48
61,0.095027,,-0.601629,,0,42
62,,,,,1,48
63,,,,,2,54
64,,,,,0,48
65,,,,,1,48
66,,,,,1,48
67,,,,,1,48
68,,,,,1,48
69,1.005936,,0.354275,,0,48
70,,,,,1,48
71,,,,,2,60
72,,,,,1,60
73,,,,,2,60
74,,,,,0,60
75,,,,,0,54
76,,,,,1,54
77,0.048033,,-0.531091,,0,48
78,,,,,1,48
79,,,,,0,48
80,,,,,1,48
81,,,,,1,42
82,,,,,2,48
83,,,,,1,42
84,,,,,1,48
85,,,,,0,48
86,,,,,1,48
87,,,,,1,54
88,,,,,0,48
89,,,,,2,60
90,,,,,1,60
91,,,,,0,54
92,,,,,1,48
93,,,,,1,48
94,,,,,1,48
95,,,,,2,60
96,,,,,1,60
97,,,,,2,66
98,,,,,1,72
99,,,,,3,78
100,,,,,1,78
101,1.332402,,0.901463,,0,78
102,0.097771,,0.245915,,0,72
103,,,,,1,72
104,,,,,1,72
105,,,,,1,66
106,,,,,1,66
107,,,,,2,66
108,,,,,2,72
109,,,,,2,66
110,,,,,0,60
111,,,,,2,72
112,,,,,1,78
113,,,,,0,72
114,,,,,1,72
115,0.067484,,-1.111023,,0,66
116,,,,,1,66
117,,,,,2,66
118,,,,,0,54
119,,,,,1,48
120,,,,,1,54
121,,,,,0,42
122,,,,,1,42
123,0.071595,,-0.510763,,0,42
124,0.142332,0.093804,0.018215,-0.534524,0,36
125,,,,,1,42
126,,,,,1,42
127,,,,,2,42
128,,,,,2,54
129,,,,,1,54
130,,,,,1,54
131,,,,,1,60
132,0.132614,0.115514,-0.174731,-0.222426,0,54
133,,,,,0,54
134,,,,,2,66
135,,,,,1,66
136,,,,,1,66
137,,,,,1,60
138,,,,,1,54
139,,,,,2,60
140,,,,,0,54
141,,,,,1,54
142,,,,,1,60
143,,,,,1,66
144,,,,,0,54
145,0.184889,,-0.840452,,0,48
146,0.122459,,0.132656,,0,42
147,,,,,1,42
148,,,,,0,36
149,0.153758,0.153702,0.184222,-0.174524,0,24
150,,0.153702,,-0.174524,1,30
151,,0.153702,,-0.174524,1,30
152,,0.153702,,-0.174524,2,36
153,,0.153702,,-0.174524,0,30
154,,0.153702,,-0.174524,1,36
155,,,,,0,36
156,,,,,1,42
157,,,,,1,42
158,,,,,1,48
159,,,,,1,54
160,0.132259,,-0.671814,,0,48
161,,,,,1,48
162,,,,,1,42
163,,,,,2,54
164,,,,,0,48
165,,,,,1,54
166,,,,,1,54
167,0.181952,,-0.535359,,0,48
168,,,,,1,48
169,0.135066,0.149759,-0.620936,-0.609370,0,42
170,0.053116,0.123378,-0.592189,-0.582828,0,42
171,,0.123378,,-0.582828,1,42
172,,0.123378,,-0.582828,2,48
173,,0.123378,,-0.582828,1,42
174,,0.123378,,-0.582828,1,48
175,,0.123378,,-0.582828,2,54
176,,0.123378,,-0.582828,1,54
177,,,,,1,60
178,,,,,2,66
179,,,,,2,78
180,,,,,0,78
181,0.105028,,-0.575192,,0,72
182,0.085006,,0.057084,,0,60
183,,,,,0,54
184,,,,,1,54
185,,,,,1,48
186,0.119561,0.103198,-0.066053,-0.194720,0,42
187,0.129385,0.109745,0.521253,-0.015727,0,36
188,,0.109745,,-0.015727,2,36
189,,0.109745,,-0.015727,1,30
